pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-12 20:01:33,2019-03-12 20:28:51,1,15.52,42.0,8.66,0.0,51.96,yellow,credit card,JFK Airport,Long Island City/Hunters Point,Queens,Queens
2019-03-31 10:21:32,2019-03-31 10:36:58,1,4.59,16.0,2.32,0.0,21.62,yellow,credit card,Lenox Hill West,Greenwich Village North,Manhattan,Manhattan
2019-03-02 18:31:49,2019-03-02 18:50:16,1,2.5,13.0,3.25,0.0,19.55,yellow,credit card,Murray Hill,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-05 21:25:00,2019-03-05 21:31:31,1,0.6,5.5,0.0,0.0,9.3,yellow,cash,Lincoln Square East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-11 17:53:03,2019-03-11 18:06:24,2,1.97,10.5,2.96,0.0,17.76,yellow,credit card,Union Sq,Upper East Side South,Manhattan,Manhattan
2019-03-01 22:55:07,2019-03-01 23:18:29,2,3.7,18.0,0.0,0.0,21.8,yellow,cash,East Village,East Williamsburg,Manhattan,Brooklyn
2019-03-30 07:57:26,2019-03-30 08:07:18,1,1.8,9.5,1.0,0.0,13.8,yellow,credit card,West Chelsea/Hudson Yards,Flatiron,Manhattan,Manhattan
2019-03-04 17:07:13,2019-03-04 17:31:03,5,9.76,29.5,7.91,5.76,47.47,yellow,credit card,LaGuardia Airport,Midtown North,Queens,Manhattan
2019-03-14 19:28:18,2019-03-14 19:32:32,1,0.6,5.0,2.32,0.0,11.62,yellow,credit card,Midtown South,Murray Hill,Manhattan,Manhattan
2019-03-09 11:08:09,2019-03-09 11:18:03,1,2.05,9.5,2.56,0.0,15.36,yellow,credit card,Lenox Hill West,Upper West Side South,Manhattan,Manhattan
2019-03-06 16:47:56,2019-03-06 17:07:03,1,3.24,15.5,3.46,0.0,20.76,green,credit card,Washington Heights South,Bloomingdale,Manhattan,Manhattan
2019-03-16 20:17:52,2019-03-16 20:23:32,1,0.73,5.5,0.0,0.0,6.8,green,credit card,Central Harlem North,Central Harlem,Manhattan,Manhattan
2019-03-06 08:34:54,2019-03-06 09:11:42,1,7.7,28.5,0.0,0.0,29.3,green,credit card,Saint Albans,Rego Park,Queens,Queens
